branch	part	chapter
02.1_shiny-app	Intro	Shiny
02.2_movies-app	Intro	Shiny
02.3_proj-app	Intro	Shiny
03.1_description	Intro	Packages
03.2_rproj	Intro	Packages
03.3_create-package	Intro	Packages
04_devtools	Intro	Development
05_roxygen2	App-packages	Documentation
06.1_exports	App-packages	Dependencies
06.2_imports	App-packages	Dependencies
07_data	App-packages	Data
08_launch	App-packages	Launch
09_inst	App-packages	External files
10_debugger	Debugging	Debugging in Positron/RStudio
11_debug-print	Debugging	Print debugging methods
12.1_debug-mods	Debugging	Debugging modules
12.2_mod-comms	Debugging	Debugging module communication
13_logging	Debugging	Logging app behaviors
14_tests_suite	Tests	Building testthat test suite
15_specs	Tests	Test specifications
16.1_test-help	Tests	Using ensure to help write tests
16.2_test-data	Tests	Storing and using test data
16.3_test-logger	Tests	Writing a test logging helper function
16.4_test-snapshots	Tests	Test snapshots
17_test-modules	Tests	Testing modules
18_test-system	Tests	System tests
19_shinyappsio	Deploy	Deploy to shinyapps.io
20_docker	Deploy	Deploying with Docker
21.1_gha-style	Deploy	Deploying with GitHub Actions (styling code)
21.2_gha-shiny-deploy	Deploy	Deploying shiny app with GitHub Actions
21.3_gha-shiny-docker	Deploy	Deploying shiny app with Docker and GitHub Actions
22_pkgdown	Deploy	Deploying a package website
23_golem	Frameworks	golem framework
24_leprechaun	Frameworks	leprechaun framework
25_rhino	Frameworks	rhino framework
26_llm-shiny-assist	Shiny & LLMs	LLMs with Shiny Assistant
27_llm-ellmer	Shiny & LLMs	LLMs with ellmer package
28_llm-chores	Shiny & LLMs	LLMs with chores package
29_llm-gander	Shiny & LLMs	LLMs with gander package
30_llm-btw	Shiny & LLMs	LLMs with btw package
